Organization,Followed On
AthenaHQ,Thu Aug 28 14:17:36 UTC 2025
Boring Enterprise Nerds,Tue Aug 26 07:04:29 UTC 2025
OpenAI,Sat Aug 23 10:20:11 UTC 2025
BYD EUROPE,Sat Aug 23 10:20:08 UTC 2025
BYD,Sat Aug 23 10:20:06 UTC 2025
adidas,Fri Sep 26 19:23:53 UTC 2025
How to Prompt,Sun Aug 10 06:40:04 UTC 2025
Anthropic,Sat Aug 09 13:31:07 UTC 2025
TechieNutz IT Services,Mon Jul 07 08:40:27 UTC 2025
Bear Room,Thu May 15 18:48:11 UTC 2025
CVBird,Sat Feb 22 18:42:43 UTC 2025
Everyone finds,Sat Feb 22 11:21:22 UTC 2025
First Impression ,Sat Jan 25 20:32:04 UTC 2025
Athena AI,Wed Jan 15 07:11:56 UTC 2025
Josera petfood,Tue Jan 14 22:14:20 UTC 2025
Energize Group,Tue Jan 14 19:43:50 UTC 2025
Polkadot Blockchain Academy,Fri Jan 10 17:37:39 UTC 2025
Mitsubishi Engine ,Fri Dec 27 16:42:52 UTC 2024
Caterham,Sun Dec 15 09:59:35 UTC 2024
GetAnalyst,Wed Dec 04 10:59:52 UTC 2024
Gradio,Sun Oct 20 07:55:01 UTC 2024
Unicorn Factory Lisboa,Fri Oct 18 20:25:06 UTC 2024
Nerve games,Fri Oct 18 16:20:40 UTC 2024
Школа компетенций,Sat Oct 05 18:03:43 UTC 2024
Ferrari,Sat Oct 05 18:03:40 UTC 2024
SaM Solutions,Mon Sep 23 14:58:21 UTC 2024
Fiat,Sun Sep 08 17:57:24 UTC 2024
Swissbit AG,Sun Aug 11 10:27:00 UTC 2024
Habitomic Coach ,Sat Jun 01 10:15:06 UTC 2024
Instantry.ai,Mon May 06 17:20:22 UTC 2024
Plattr,Wed Mar 27 15:12:50 UTC 2024
Placy,Mon Mar 11 13:11:30 UTC 2024
Lingolette,Mon Feb 26 09:56:10 UTC 2024
Rubik Hub,Fri Dec 08 05:56:27 UTC 2023
Challengeme.today,Sun Sep 24 17:14:02 UTC 2023
WhatTheAI.tech,Tue Sep 19 16:42:33 UTC 2023
Category Design,Tue Sep 05 06:16:50 UTC 2023
Datatera.ai,Wed Aug 30 21:41:17 UTC 2023
JBH,Fri Aug 18 08:36:02 UTC 2023
ama care (Acquired by Lovi),Tue Aug 15 00:17:06 UTC 2023
EDUvation,Sun Aug 13 16:37:13 UTC 2023
Edfluence,Wed Aug 09 17:19:49 UTC 2023
Lingopanda (previously PingoLearn),Wed Aug 09 16:13:04 UTC 2023
FUTURE STORIES GmbH,Mon Aug 07 14:46:51 UTC 2023
Letmespeak.org AG,Sun Aug 06 09:09:50 UTC 2023
Startup Network Europe,Thu Aug 03 10:57:33 UTC 2023
Seedstars,Thu Aug 03 10:57:30 UTC 2023
Change Ventures,Thu Aug 03 10:57:26 UTC 2023
Revo Capital,Thu Aug 03 10:57:19 UTC 2023
Techstars,Thu Aug 03 10:57:17 UTC 2023
StartersHub Ventures,Thu Aug 03 10:57:14 UTC 2023
Accel,Thu Aug 03 10:52:48 UTC 2023
Plug and Play Tech Center,Thu Aug 03 10:52:46 UTC 2023
500 Global,Thu Aug 03 10:52:44 UTC 2023
Stealth Startup,Thu Aug 03 10:52:44 UTC 2023
Approach,Thu Aug 03 10:52:41 UTC 2023
ROI VENTURES,Thu Aug 03 10:52:02 UTC 2023
Entrepreneurs First,Thu Aug 03 10:52:00 UTC 2023
Antler,Thu Aug 03 10:51:58 UTC 2023
EWOR,Thu Aug 03 10:51:47 UTC 2023
Grasp,Tue Aug 01 10:05:43 UTC 2023
Lexia Learning,Mon Jul 31 18:36:27 UTC 2023
Learnsharp,Sun Jul 30 18:12:40 UTC 2023
Dokably,Sun Jul 30 18:11:54 UTC 2023
FluênciaMágica AI,Fri Jul 28 16:18:41 UTC 2023
Angel One,Fri Jul 28 15:41:35 UTC 2023
Blossom Capital,Thu Jul 27 15:44:48 UTC 2023
Edwin,Tue Jul 25 06:35:01 UTC 2023
Linguado,Tue Jul 25 06:33:20 UTC 2023
BrightSign Glove,Tue Jul 25 06:33:00 UTC 2023
Prosper Education™ ,Tue Jul 25 06:31:59 UTC 2023
MovieMethod,Tue Jul 25 06:30:48 UTC 2023
"FabuLingua, Inc.",Tue Jul 25 06:30:11 UTC 2023
iStoria,Tue Jul 25 06:29:36 UTC 2023
Weeve,Tue Jul 25 06:29:03 UTC 2023
LingoDeer,Tue Jul 25 06:25:00 UTC 2023
LingQ,Tue Jul 25 06:24:43 UTC 2023
Tonara,Tue Jul 25 06:24:35 UTC 2023
Angle Audio,Tue Jul 25 06:24:31 UTC 2023
Faladdin,Tue Jul 25 06:24:22 UTC 2023
Daily Language Tip,Tue Jul 25 06:24:08 UTC 2023
Pimsleur Language Programs,Tue Jul 25 06:23:49 UTC 2023
Speak,Tue Jul 25 06:23:45 UTC 2023
AceFluency App - Spoken English,Tue Jul 25 06:23:06 UTC 2023
Streetbees,Tue Jul 25 06:22:41 UTC 2023
Learnlight,Tue Jul 25 06:22:32 UTC 2023
enguru Live English Learning App,Tue Jul 25 06:22:30 UTC 2023
The Language TRIBE,Tue Jul 25 06:22:24 UTC 2023
Mystic - Language Learning App,Tue Jul 25 06:22:10 UTC 2023
Language Curry,Tue Jul 25 06:21:57 UTC 2023
Lingobo,Sun Jul 23 11:21:45 UTC 2023
ArgoLingo - Faster Language Learning,Mon Jul 17 19:55:18 UTC 2023
"Language Learning, LLC",Mon Jul 17 19:54:51 UTC 2023
Language Learning Market,Mon Jul 17 19:53:53 UTC 2023
Spark venture studio,Mon Jul 17 17:50:22 UTC 2023
Design Patterns,Tue Jul 11 11:20:44 UTC 2023
EdTech Hub,Sat Jul 08 16:54:31 UTC 2023
Global EdTech,Fri Jul 07 16:37:46 UTC 2023
European Edtech Alliance,Fri Jul 07 16:37:36 UTC 2023
EdTech Impact,Fri Jul 07 16:37:10 UTC 2023
EdTech,Fri Jul 07 16:37:02 UTC 2023
Delinea EdTech,Fri Jul 07 16:36:59 UTC 2023
Adapt Edtech,Fri Jul 07 16:36:58 UTC 2023
UOL EdTech,Fri Jul 07 16:36:55 UTC 2023
Spark Education Group,Fri Jul 07 16:34:12 UTC 2023
Legal Bites,Fri Jul 07 16:33:57 UTC 2023
LingoTalk,Fri Jul 07 16:33:52 UTC 2023
Novakid Inc,Fri Jul 07 16:33:46 UTC 2023
51Talk,Fri Jul 07 16:33:35 UTC 2023
Deepgram,Fri Jul 07 16:33:24 UTC 2023
Learnosity,Fri Jul 07 16:33:17 UTC 2023
Explosion,Wed Dec 04 20:25:08 UTC 2024
7Speaking,Fri Jul 07 16:32:57 UTC 2023
Voxy,Fri Jul 07 16:32:50 UTC 2023
Accrete,Fri Jul 07 16:32:37 UTC 2023
Magic EdTech,Fri Jul 07 16:32:33 UTC 2023
uFaber Edutech Pvt Ltd,Fri Jul 07 16:32:22 UTC 2023
Skit.ai,Fri Jul 07 16:32:19 UTC 2023
Open English,Fri Jul 07 16:32:05 UTC 2023
goFLUENT,Fri Jul 07 16:31:49 UTC 2023
Course Hero,Fri Jul 07 16:31:43 UTC 2023
Hugging Face,Fri Jul 07 16:31:39 UTC 2023
"Proximity Learning, Inc.",Fri Jul 07 16:31:32 UTC 2023
Imagine Learning,Fri Jul 07 16:31:30 UTC 2023
Cambium Learning Group,Fri Jul 07 16:31:28 UTC 2023
EF,Fri Jul 07 16:31:19 UTC 2023
LET+ Language Academy,Fri Jul 07 16:31:17 UTC 2023
"SpeakWiz - Free, effective and fun on-the-go language learning community",Fri Jul 07 16:31:15 UTC 2023
Language Scoop,Fri Jul 07 16:31:05 UTC 2023
Language Partners,Fri Jul 07 16:30:59 UTC 2023
The Language Lake,Fri Jul 07 16:30:57 UTC 2023
Cognate Language Learning,Fri Jul 07 16:30:51 UTC 2023
Eupheus Learning,Fri Jul 07 16:30:22 UTC 2023
eSpark Learning,Fri Jul 07 16:30:17 UTC 2023
Natural Language Learning,Fri Jul 07 16:29:45 UTC 2023
Language Stars,Fri Jul 07 16:29:35 UTC 2023
Active Language Learning,Fri Jul 07 16:29:30 UTC 2023
Language Fluent,Fri Jul 07 16:29:19 UTC 2023
Ū Hub | Startup Community in Poland,Fri Jul 07 09:47:54 UTC 2023
eaze,Thu Jul 06 11:20:24 UTC 2023
EdTechX,Thu Jul 06 07:22:08 UTC 2023
Challenge,Mon Jul 03 17:08:06 UTC 2023
LG Platform,Sat Jul 01 15:59:03 UTC 2023
Atticus,Wed Jun 28 18:07:32 UTC 2023
How the F*ck,Sat Jun 10 14:43:06 UTC 2023
Rocket (getrocket.com),Fri Jun 09 09:12:03 UTC 2023
Pitch Bootcamp,Sun Jun 04 15:46:44 UTC 2023
Drops - a Kahoot! company,Thu Jun 01 18:13:14 UTC 2023
Duolingo,Thu Jun 01 18:13:11 UTC 2023
Grammarly,Thu Jun 01 18:13:10 UTC 2023
italki,Thu Jun 01 18:13:06 UTC 2023
DeepL,Thu Jun 01 18:13:02 UTC 2023
Rosetta Stone,Thu Jun 01 18:13:01 UTC 2023
Lingoda GmbH,Thu Jun 01 18:12:57 UTC 2023
Busuu,Thu Jun 01 18:12:49 UTC 2023
MetalHatsCats,Tue May 09 09:21:46 UTC 2023
uTalk.com,Mon May 08 18:12:02 UTC 2023
SPEAKLY ⚡️ Learn languages 5x faster ⚡️,Mon May 08 18:11:28 UTC 2023
Flow.ai,Mon May 08 18:11:06 UTC 2023
Hello English (Acquired by Byjus),Mon May 08 18:09:59 UTC 2023
Mondly by Pearson,Mon May 08 18:09:53 UTC 2023
Tandem - Language Exchange,Mon May 08 18:09:47 UTC 2023
Memrise,Mon May 08 18:09:41 UTC 2023
HelloTalk ,Mon May 08 18:09:28 UTC 2023
"Foreign Language Specialists, Inc.",Mon May 08 17:50:45 UTC 2023
DuoCards,Mon May 08 17:49:55 UTC 2023
Generative AI,Thu Apr 20 17:56:03 UTC 2023
AppMakers USA,Mon Apr 17 05:18:38 UTC 2023
Hard&Soft Skills,Wed Apr 12 06:23:16 UTC 2023
EZ Speak ,Mon Apr 10 11:59:54 UTC 2023
Duolingo,Mon Apr 10 11:59:50 UTC 2023
Energram - The Energy Saving App,Sat Apr 08 08:07:39 UTC 2023
SmallTalk2Me,Mon Apr 03 21:09:58 UTC 2023
Burning Heroes Founders Association,Sat Apr 01 11:50:48 UTC 2023
Marq AI,Sat Apr 01 11:50:43 UTC 2023
LiveXP,Sat Apr 01 11:46:40 UTC 2023
Notion,Fri Mar 31 19:49:56 UTC 2023
Кадровое IT агентство Натальи Зотовой,Tue Mar 28 14:56:50 UTC 2023
Silicon Valley in Your Pocket,Mon Mar 27 04:36:01 UTC 2023
DŌBRA Impact Venture Studio,Sun Mar 26 14:32:15 UTC 2023
Debaby,Sun Mar 26 12:58:55 UTC 2023
Scoolsy,Sun Mar 26 13:04:30 UTC 2023
blaiz.app,Thu Mar 23 20:50:10 UTC 2023
Eppie,Thu Mar 23 20:49:04 UTC 2023
Govar – AI English speaking club,Thu Mar 23 20:31:25 UTC 2023
Tech.eu,Thu Mar 16 10:01:12 UTC 2023
European Startup Network,Thu Mar 16 10:01:07 UTC 2023
App Marketing Agency,Thu Mar 16 06:51:21 UTC 2023
Flutter Developer Poland,Thu Mar 16 05:59:06 UTC 2023
EU-Startups,Wed Mar 15 19:14:33 UTC 2023
AI.STARTUP.HUB Hamburg,Tue Mar 14 19:26:52 UTC 2023
LingoAce,Fri Jul 07 16:31:53 UTC 2023
Babbel,Sat Mar 11 13:56:52 UTC 2023
Impulse - Brain Training,Sat Mar 11 13:55:20 UTC 2023
memoryOS,Sat Mar 11 13:55:06 UTC 2023
"ELSA, Corp",Sat Mar 11 13:17:43 UTC 2023
The Startup Club,Sat Mar 11 13:16:15 UTC 2023
STARTUP-TALENT,Sat Mar 11 13:16:10 UTC 2023
Edtech Startup,Sat Mar 11 08:41:29 UTC 2023
UX of EdTech,Thu Aug 03 10:47:55 UTC 2023
Launch Deck,Sat Mar 11 08:32:51 UTC 2023
Startup Pakistan,Tue Mar 07 06:39:00 UTC 2023
Flutter Developers,Sun Mar 05 09:07:01 UTC 2023
Flutter Mobile App Development,Sun Mar 05 09:07:00 UTC 2023
Jobs in Portugal,Sat Mar 04 07:55:01 UTC 2023
Portugal Startups jobs,Sat Mar 04 07:54:58 UTC 2023
SAP Supply Chain Management,Sat Mar 04 07:54:48 UTC 2023
Portugal Startup Visa,Sat Mar 04 07:54:38 UTC 2023
Startup Visa Services,Sat Mar 04 07:54:35 UTC 2023
SWIBO - Startup Visa Programs,Sat Mar 04 07:54:33 UTC 2023
Startup Weekend Portugal,Sat Mar 04 07:54:21 UTC 2023
Lisboa Innovation,Sat Mar 04 07:53:49 UTC 2023
Unicorn Factory Lisboa,Sat Mar 04 07:53:48 UTC 2023
Startup Portugal,Sat Mar 04 07:53:43 UTC 2023
Latvian Business Angels Network,Wed Mar 01 11:45:27 UTC 2023
Unicorns Lithuania,Wed Mar 01 11:45:17 UTC 2023
Coinvest Capital,Wed Mar 01 11:45:11 UTC 2023
CatZu - Mobile Speech Assistant,Wed Mar 01 08:31:50 UTC 2023
Lithuanian Business Angel Network LitBAN,Tue Feb 28 20:42:40 UTC 2023
Flutter Jobs,Tue Feb 28 19:15:46 UTC 2023
Edberry,Tue Feb 28 19:15:04 UTC 2023
Eurostat,Tue Feb 28 14:29:02 UTC 2023
Imaguru Startup Hub Vilnius,Mon Feb 27 23:24:46 UTC 2023
tobee.live | mmorpg,Sun Feb 26 11:17:14 UTC 2023
Very Good Ventures,Thu Feb 23 01:57:27 UTC 2023
Flutter Dev,Thu Feb 23 01:57:20 UTC 2023
Latvian Startup Association Startin.LV,Sun Feb 12 16:55:27 UTC 2023
Let's Talk SAP,Sun Feb 05 09:32:35 UTC 2023
SAP Build,Sat Feb 04 20:17:29 UTC 2023
SAP Community - Fan Page,Sat Feb 04 20:17:28 UTC 2023
SAP Jobs (India)_All modules,Sat Feb 04 20:17:28 UTC 2023
SAP Learner Community,Sat Feb 04 20:17:27 UTC 2023
Flutter App,Sat Feb 04 20:17:23 UTC 2023
Rheinwerk Computing,Sat Feb 04 12:53:06 UTC 2023
Flutter Developer,Sat Feb 04 12:53:02 UTC 2023
SummarizeBot,Tue Jan 31 19:18:23 UTC 2023
Loom,Tue Jan 31 19:18:17 UTC 2023
ECM Talent,Mon Jan 09 13:05:26 UTC 2023
Firebase,Sat Jan 07 16:44:57 UTC 2023
Flutter Community,Thu Sep 29 05:21:30 UTC 2022
Flutter Devs,Thu Sep 29 05:17:27 UTC 2022
ERP College - Logistics,Sun Sep 25 16:13:52 UTC 2022
Bautomate,Sat Sep 24 09:40:30 UTC 2022
TechnoForce IT Solutions Pvt. Ltd.,Fri May 06 05:16:43 UTC 2022
DigiHelic Solutions Pvt. Ltd.,Sat Apr 30 06:55:33 UTC 2022
WMexperts.online,Sun Mar 27 09:32:17 UTC 2022
Scheer IDS – Austria,Wed Feb 23 11:14:17 UTC 2022
Microsoft Learn,Wed Jan 05 17:57:57 UTC 2022
ASUG - Americas'​ SAP Users'​ Group,Sat Dec 25 11:51:41 UTC 2021
SAP BLOG | erp.jobs,Sat Dec 25 11:51:30 UTC 2021
Deutschsprachige SAP-Anwendergruppe e.V. (DSAG),Sat Dec 25 11:50:30 UTC 2021
Daimler Truck AG,Sat Dec 25 11:33:07 UTC 2021
Tesla,Sat Dec 25 10:24:10 UTC 2021
Porsche AG,Sat Dec 25 10:24:03 UTC 2021
BMW Group,Sat Dec 25 10:23:45 UTC 2021
SAP Business Technology Platform,Wed Dec 22 07:12:43 UTC 2021
AUDI AG,Wed Dec 22 07:12:39 UTC 2021
SAP Community,Wed Dec 22 07:12:37 UTC 2021
SAP PRESS,Wed Sep 08 14:01:43 UTC 2021
ZAPYard,Tue Dec 08 10:06:04 UTC 2020
Accenture,Sat Sep 12 08:28:04 UTC 2020
IBM,Sat Sep 12 08:27:47 UTC 2020
Capgemini,Sat Sep 12 08:27:39 UTC 2020
PwC,Sat Sep 12 08:27:32 UTC 2020
Tata Consultancy Services,Sat Sep 12 08:27:28 UTC 2020
SNI,Sat Sep 12 08:27:21 UTC 2020
RED Global,Sat Sep 12 08:27:18 UTC 2020
Skybuffer,Sun Mar 11 08:07:26 UTC 2018
SAP,Fri Feb 23 06:23:22 UTC 2018
Eursap - Europe's #1 SAP Recruitment Agency ⭐️⭐️⭐️⭐️⭐️,Fri Nov 18 14:33:52 UTC 2016
ERP Consulting Exchange,Mon Jun 13 18:14:25 UTC 2016
EPAM Systems,Fri May 20 11:44:14 UTC 2016
SMART business,Fri May 20 11:42:13 UTC 2016